anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,,,,
28,31,33.45714286,1,"[31, 35, 33, 34, 36, 35, 34, 31, 38, 33, 29, 31, 36, 35, 29, 33, 32, 31, 31, 37, 37, 33, 35, 32, 31, 38, 29, 30, 37, 31, 37, 34, 37, 37, 29]",35,109,2.862977236,,,,
27,31,32.76470588,1,"[34, 29, 33, 30, 33, 31, 32, 32, 39, 34, 33, 30, 29, 33, 31, 33, 35, 33, 34, 32, 32, 38, 31, 33, 32, 36, 34, 29, 33, 33, 34, 34, 29, 36]",34,110,2.374853406,,,,
29,33,34.17142857,1,"[34, 32, 31, 33, 33, 36, 33, 31, 41, 32, 36, 35, 31, 32, 31, 37, 35, 33, 33, 35, 36, 32, 33, 34, 34, 33, 33, 39, 31, 34, 38, 34, 33, 38, 40]",35,111,2.628863703,,,,
24,30,30.57575758,1,"[32, 31, 33, 31, 31, 30, 30, 36, 32, 32, 28, 30, 29, 29, 30, 30, 31, 33, 29, 28, 31, 31, 26, 31, 31, 34, 27, 30, 32, 30, 30, 27, 34]",33,112,2.121766702,,,,
26,30,32.79310345,1,"[35, 34, 30, 34, 35, 36, 31, 33, 30, 36, 31, 35, 30, 33, 31, 33, 30, 36, 37, 30, 32, 32, 28, 30, 30, 35, 32, 37, 35]",29,113,2.554817723,,,,
26,30,31.41176471,1,"[30, 33, 34, 33, 32, 33, 30, 33, 32, 33, 33, 29, 30, 32, 31, 32, 31, 28, 30, 33, 34, 30, 31, 29, 33, 30, 35, 31, 30, 30, 29, 32, 32, 30]",34,114,1.707694655,,,,
25,30,31.16666667,1,"[30, 33, 33, 35, 30, 35, 33, 27, 36, 31, 34, 33, 36, 32, 32, 30, 32, 27, 27, 31, 32, 27, 33, 33, 33, 30, 29, 27, 32, 32, 30, 29, 30, 30, 30, 28]",36,115,2.557900925,,,,
30,34,35.47222222,1,"[37, 36, 33, 35, 35, 37, 33, 35, 36, 38, 33, 35, 37, 39, 35, 36, 39, 34, 33, 32, 35, 38, 34, 37, 34, 34, 32, 36, 32, 35, 40, 34, 39, 35, 36, 38]",36,116,2.14457603,,,,
27,32,34.72222222,1,"[37, 36, 37, 38, 36, 36, 40, 37, 35, 36, 32, 31, 37, 32, 33, 32, 33, 34, 33, 32, 37, 34, 38, 36, 30, 37, 31, 36, 35, 29, 29, 36, 32, 38, 34, 41]",36,117,2.953072116,,,,
32,36,37.61111111,1,"[37, 36, 35, 42, 36, 38, 37, 36, 38, 40, 38, 37, 39, 41, 38, 37, 37, 38, 37, 36, 43, 34, 36, 43, 34, 39, 41, 35, 37, 37, 36, 37, 41, 37, 34, 37]",36,118,2.357695943,,,,
31,34,36.51515152,1,"[43, 36, 36, 38, 34, 35, 33, 37, 34, 36, 37, 34, 38, 37, 35, 34, 34, 33, 42, 37, 40, 37, 40, 37, 33, 35, 34, 33, 36, 38, 41, 39, 39]",33,119,2.693988819,,,,
29,33,34.75,1,"[37, 31, 35, 40, 38, 32, 36, 35, 31, 36, 35, 35, 38, 33, 32, 34, 38, 34, 33, 35, 34, 34, 39, 36, 32, 35, 34, 33, 35, 32, 32, 40, 31, 35, 35, 36]",36,120,2.442188714,,,,
25,30,31.96666667,1,"[30, 35, 34, 39, 37, 31, 33, 33, 29, 34, 33, 30, 28, 29, 33, 34, 33, 37, 28, 27, 30, 34, 32, 34, 30, 29, 30, 28, 30, 35]",30,121,3.034097415,,,,
23,27,28.5,1,"[27, 29, 30, 32, 29, 32, 29, 28, 25, 32, 26, 25, 26, 30, 30, 26, 28, 29, 30, 27, 27, 27, 28, 31, 26, 33, 29, 28, 29, 27, 29, 28]",32,122,2.094539752,,,,
25,30,31.82857143,1,"[29, 30, 27, 33, 34, 36, 31, 30, 27, 30, 32, 34, 29, 32, 32, 33, 31, 31, 31, 33, 32, 35, 29, 27, 38, 32, 34, 32, 30, 35, 38, 31, 33, 30, 33]",35,123,2.706046762,,,,
29,34,35.2,1,"[35, 37, 35, 37, 34, 39, 35, 33, 32, 34, 35, 33, 38, 36, 35, 37, 33, 31, 34, 41, 32, 36, 36, 36, 35, 38, 35, 34, 35, 31, 32, 35, 39, 39, 35]",35,124,2.373877444,,,,
27,32,34,1,"[35, 29, 32, 32, 32, 31, 32, 38, 37, 34, 34, 38, 29, 34, 32, 32, 37, 35, 36, 36, 37, 33, 33, 38, 31, 41, 38, 35, 34, 35, 34, 32, 29, 31]",34,125,2.933608802,,,,
24,28,29.8,1,"[26, 28, 25, 32, 27, 28, 26, 28, 35, 29, 31, 31, 29, 29, 25, 37, 30, 31, 30, 30, 31, 31, 25, 33, 31, 29, 29, 34, 28, 31, 37, 29, 26, 28, 34]",35,126,3.122969929,,,,
29,33,34.21212121,1,"[34, 38, 34, 35, 35, 33, 35, 34, 36, 33, 32, 37, 33, 33, 32, 31, 34, 37, 31, 31, 36, 34, 34, 34, 36, 34, 33, 32, 38, 34, 34, 35, 37]",33,127,1.916337258,,,,
22,28,29.96551724,1,"[29, 32, 29, 32, 33, 28, 29, 32, 26, 31, 28, 29, 32, 25, 37, 27, 35, 33, 32, 32, 29, 26, 23, 26, 27, 32, 29, 35, 31]",29,128,3.278531451,,,,
25,31,32.11764706,1,"[32, 35, 32, 30, 29, 31, 33, 31, 33, 35, 34, 30, 35, 34, 32, 31, 30, 35, 35, 32, 35, 31, 31, 31, 31, 32, 34, 32, 28, 31, 29, 34, 30, 34]",34,129,2.011553084,,,,
25,30,31.33333333,1,"[29, 32, 30, 36, 30, 34, 31, 33, 35, 32, 35, 33, 32, 35, 32, 34, 30, 28, 27, 30, 32, 29, 30, 32, 33, 31, 31, 29, 31, 34, 30, 29, 30, 27, 31, 31]",36,130,2.25515283,,,,
28,33,34.25,1,"[33, 35, 34, 35, 35, 36, 33, 32, 35, 36, 34, 34, 35, 39, 30, 33, 36, 35, 34, 33, 32, 34, 32, 36, 33, 33, 32, 38, 32, 32, 37, 33, 35, 33, 37, 37]",36,131,1.976649402,,,,
25,30,32.72222222,1,"[33, 29, 37, 40, 36, 32, 34, 36, 29, 32, 30, 32, 38, 29, 27, 32, 35, 27, 30, 30, 30, 29, 35, 35, 33, 34, 33, 33, 36, 29, 33, 35, 34, 32, 33, 36]",36,132,3.094798504,,,,
30,35,36.05555556,1,"[34, 33, 35, 38, 35, 37, 35, 39, 37, 36, 36, 37, 36, 37, 35, 35, 33, 35, 36, 38, 38, 37, 38, 41, 32, 38, 37, 33, 38, 37, 35, 36, 38, 32, 33, 38]",36,133,2.083190471,,,,
30,34,35.84848485,1,"[38, 37, 35, 37, 36, 33, 32, 39, 36, 34, 36, 32, 35, 36, 35, 37, 39, 32, 42, 35, 37, 35, 38, 37, 32, 37, 34, 34, 36, 33, 40, 39, 35]",33,134,2.45103565,,,,
28,32,34.13888889,1,"[34, 34, 32, 36, 35, 34, 32, 35, 33, 37, 37, 31, 34, 33, 33, 34, 34, 39, 35, 36, 42, 30, 31, 39, 30, 35, 34, 32, 35, 34, 32, 33, 38, 31, 32, 33]",36,135,2.641999003,,,,
25,29,31.63333333,1,"[30, 30, 31, 27, 37, 30, 34, 29, 29, 37, 35, 32, 31, 33, 29, 34, 29, 32, 30, 27, 29, 33, 37, 38, 30, 30, 34, 28, 31, 33]",30,136,3.045441289,,,,
27,31,31.84375,1,"[29, 32, 31, 35, 35, 31, 31, 35, 35, 36, 31, 31, 30, 32, 31, 29, 31, 32, 30, 35, 31, 34, 32, 33, 32, 32, 32, 29, 30, 33, 29, 30]",32,137,2.017813812,,,,
29,34,35.74285714,1,"[37, 39, 37, 35, 36, 37, 34, 33, 36, 40, 37, 40, 31, 36, 34, 33, 35, 31, 32, 40, 40, 35, 32, 31, 40, 34, 37, 36, 32, 31, 41, 34, 40, 35, 40]",35,138,3.13746673,,,,
28,32,34,1,"[33, 33, 36, 35, 30, 39, 30, 32, 30, 33, 32, 35, 37, 37, 30, 36, 30, 33, 33, 35, 36, 37, 30, 40, 31, 39, 34, 30, 31, 33, 36, 36, 37, 38, 33]",35,139,3,,,,
25,31,32.88235294,1,"[32, 27, 32, 33, 36, 27, 33, 35, 35, 33, 33, 37, 32, 35, 31, 31, 35, 31, 35, 33, 37, 33, 30, 31, 30, 38, 36, 36, 30, 36, 35, 30, 28, 32]",34,140,2.857893968,,,,
26,31,32.85714286,1,"[35, 31, 27, 31, 32, 36, 29, 32, 37, 30, 36, 32, 31, 37, 27, 36, 33, 31, 31, 31, 31, 37, 30, 37, 29, 35, 31, 39, 37, 28, 36, 29, 30, 36, 40]",35,141,3.53256162,,,,
27,32,32.78787879,0,"[32, 29, 32, 34, 37, 32, 32, 34, 32, 32, 29, 32, 32, 32, 30, 36, 31, 35, 33, 31, 37, 34, 31, 32, 32, 40, 33, 29, 32, 31, 33, 32, 39]",33,142,2.607172508,,,,
24,30,31.82758621,1,"[34, 34, 30, 31, 30, 35, 31, 31, 31, 30, 29, 30, 29, 30, 35, 31, 32, 34, 35, 30, 29, 29, 26, 32, 31, 38, 39, 34, 33]",29,143,2.86691678,,,,
28,32,34.29411765,1,"[35, 35, 37, 32, 34, 35, 35, 32, 35, 34, 35, 32, 33, 33, 33, 36, 32, 35, 36, 33, 36, 32, 32, 35, 31, 36, 41, 36, 32, 37, 29, 40, 34, 33]",34,144,2.431228792,,,,
26,31,33.33333333,1,"[33, 35, 34, 38, 34, 37, 35, 31, 40, 34, 37, 34, 31, 38, 38, 30, 34, 31, 28, 33, 31, 30, 36, 34, 32, 29, 35, 30, 34, 33, 31, 31, 31, 28, 40, 30]",36,145,3.207134903,,,,
28,33,34.44444444,1,"[36, 35, 34, 37, 33, 35, 34, 35, 36, 33, 33, 33, 35, 37, 33, 34, 39, 34, 30, 32, 33, 36, 36, 32, 37, 31, 33, 38, 31, 30, 39, 37, 34, 33, 34, 38]",36,146,2.371791902,,,,
26,31,33.47222222,1,"[39, 32, 40, 39, 33, 33, 40, 33, 32, 31, 34, 32, 35, 31, 30, 31, 36, 30, 31, 30, 34, 29, 40, 35, 30, 31, 30, 34, 35, 31, 34, 33, 31, 36, 36, 34]",36,147,3.148569844,,,,
28,32,32.94444444,1,"[31, 30, 34, 37, 32, 34, 32, 35, 36, 32, 34, 35, 32, 31, 32, 33, 33, 36, 31, 32, 36, 30, 33, 33, 30, 34, 33, 32, 36, 35, 33, 32, 35, 30, 30, 32]",36,148,1.984863355,,,,
28,32,34.45454545,1,"[42, 39, 32, 36, 33, 35, 30, 36, 33, 34, 33, 30, 37, 32, 36, 32, 36, 30, 32, 35, 37, 36, 35, 37, 30, 33, 40, 30, 33, 36, 38, 35, 34]",33,149,3.011342195,,,,
28,32,33.36363636,1,"[36, 36, 34, 33, 33, 31, 31, 33, 33, 30, 33, 30, 35, 33, 34, 33, 32, 30, 39, 38, 33, 35, 34, 34, 30, 37, 31, 32, 34, 33, 35, 34, 32]",33,150,2.233525546,,,,
27,33,35.66666667,1,"[37, 36, 35, 29, 38, 29, 36, 38, 38, 41, 37, 33, 34, 40, 32, 35, 39, 43, 34, 29, 31, 41, 31, 40, 36, 34, 39, 31, 34, 40]",30,151,3.898128051,,,,
28,33,34.34375,1,"[31, 33, 33, 34, 37, 34, 32, 36, 36, 38, 34, 32, 30, 34, 34, 34, 33, 38, 38, 32, 34, 30, 35, 34, 33, 40, 33, 39, 33, 35, 34, 36]",32,152,2.457501682,,,,
28,32,33.08571429,1,"[30, 33, 35, 32, 37, 33, 33, 33, 30, 31, 34, 35, 34, 37, 30, 33, 33, 30, 34, 31, 33, 33, 31, 33, 34, 30, 33, 34, 32, 32, 38, 34, 33, 32, 38]",35,153,2.147110624,,,,
27,31,33.05882353,1,"[34, 36, 35, 36, 32, 36, 34, 29, 40, 36, 33, 32, 33, 32, 30, 31, 30, 32, 32, 34, 31, 32, 31, 37, 32, 32, 29, 32, 29, 33, 34, 35, 40, 30]",34,154,2.795463603,,,,
29,33,34.91176471,1,"[34, 31, 32, 33, 34, 32, 35, 38, 40, 37, 34, 35, 31, 38, 34, 33, 37, 34, 40, 35, 33, 35, 33, 34, 31, 39, 35, 33, 37, 33, 38, 37, 32, 40]",34,155,2.689684526,,,,
29,34,35.25714286,1,"[37, 36, 30, 34, 36, 35, 33, 35, 38, 36, 38, 38, 36, 36, 30, 37, 30, 34, 34, 36, 34, 36, 30, 34, 34, 32, 32, 40, 43, 37, 43, 37, 32, 35, 36]",35,156,3.156159777,,,,
24,29,30.27272727,1,"[31, 34, 29, 29, 31, 29, 32, 31, 33, 27, 26, 31, 28, 31, 28, 28, 30, 34, 30, 28, 35, 32, 31, 30, 30, 32, 27, 27, 34, 29, 29, 29, 34]",33,157,2.362106148,,,,
24,29,29.93103448,1,"[29, 30, 26, 33, 30, 30, 31, 31, 29, 28, 29, 34, 28, 29, 32, 29, 33, 30, 30, 33, 27, 29, 26, 30, 28, 28, 30, 34, 32]",29,158,2.170105897,,,,
24,29,32.88235294,1,"[36, 40, 40, 31, 38, 32, 30, 29, 27, 36, 40, 26, 27, 27, 33, 35, 31, 30, 38, 34, 42, 29, 34, 32, 38, 26, 42, 31, 27, 31, 30, 35, 35, 26]",34,159,4.87271131,,,,
27,32,34.08333333,1,"[31, 34, 34, 39, 32, 38, 31, 34, 36, 34, 38, 32, 33, 38, 35, 36, 37, 32, 30, 34, 40, 30, 31, 37, 37, 36, 31, 30, 36, 34, 36, 34, 32, 28, 36, 31]",36,160,2.960453633,,,,
25,28,30.91666667,1,"[36, 33, 30, 34, 35, 30, 27, 31, 32, 29, 28, 28, 29, 32, 27, 27, 37, 28, 27, 34, 29, 38, 27, 35, 36, 27, 27, 31, 27, 30, 36, 30, 29, 33, 30, 34]",36,161,3.400630194,,,,
28,32,34.27777778,1,"[34, 34, 37, 42, 36, 34, 36, 35, 32, 34, 32, 36, 36, 32, 32, 32, 38, 32, 30, 32, 31, 33, 41, 35, 32, 34, 36, 33, 35, 29, 32, 33, 32, 36, 36, 40]",36,162,2.904293483,,,,
30,36,36.66666667,1,"[35, 37, 32, 40, 36, 35, 35, 37, 38, 37, 41, 38, 37, 36, 36, 37, 37, 37, 36, 39, 41, 32, 38, 36, 32, 40, 36, 36, 38, 38, 35, 40, 35, 32, 36, 39]",36,163,2.366431913,,,,
28,34,35.63636364,1,"[40, 37, 39, 37, 43, 36, 32, 36, 36, 33, 37, 30, 39, 34, 33, 33, 35, 30, 35, 38, 35, 36, 35, 39, 36, 33, 34, 35, 33, 34, 39, 37, 37]",33,164,2.826417585,,,,
28,33,34.23333333,1,"[33, 36, 33, 39, 37, 34, 36, 33, 33, 36, 35, 30, 35, 33, 34, 35, 36, 36, 37, 30, 32, 34, 36, 35, 32, 32, 33, 32, 33, 37]",30,165,2.144493081,,,,
27,32,33,1,"[30, 32, 33, 35, 37, 32, 32, 34, 35, 39, 34, 32, 32, 32, 32, 29, 33, 32, 35, 29, 31, 32, 35, 36, 29, 37, 32, 32, 36, 32, 32, 33]",32,166,2.396233604,,,,
21,27,28.88571429,1,"[26, 24, 31, 29, 31, 32, 32, 27, 24, 29, 28, 30, 28, 29, 24, 28, 25, 25, 33, 27, 30, 30, 31, 24, 33, 31, 31, 29, 25, 34, 32, 29, 29, 29, 32]",35,167,2.887818519,,,,
29,34,35.77142857,1,"[31, 36, 36, 37, 39, 40, 31, 36, 36, 36, 32, 34, 39, 37, 32, 35, 33, 32, 35, 41, 38, 36, 37, 37, 34, 42, 35, 36, 40, 34, 32, 34, 36, 39, 34]",35,168,2.829318295,,,,
27,32,34.35294118,1,"[36, 29, 35, 32, 32, 31, 32, 40, 34, 32, 37, 36, 30, 37, 37, 32, 34, 35, 35, 38, 35, 35, 34, 38, 31, 42, 37, 38, 32, 32, 34, 33, 30, 33]",34,169,3.003859668,,,,
27,32,32.68571429,1,"[32, 35, 29, 29, 30, 32, 31, 32, 38, 32, 37, 32, 32, 32, 29, 32, 31, 33, 32, 35, 35, 32, 31, 35, 32, 32, 32, 37, 35, 32, 34, 32, 32, 35, 33]",35,170,2.193190378,,,,
25,31,32.27272727,1,"[33, 32, 33, 33, 37, 33, 30, 34, 37, 33, 27, 33, 27, 30, 32, 31, 27, 37, 29, 32, 36, 31, 29, 34, 31, 37, 30, 31, 32, 33, 32, 32, 37]",33,171,2.864357773,,,,
23,31,33.13793103,1,"[34, 35, 25, 34, 35, 36, 31, 35, 35, 36, 28, 33, 30, 36, 38, 36, 40, 33, 31, 31, 29, 29, 25, 31, 31, 38, 32, 41, 33]",29,172,3.925412971,,,,
26,32,33.24242424,1,"[33, 37, 34, 34, 35, 28, 32, 33, 35, 36, 36, 30, 34, 34, 33, 35, 31, 31, 34, 32, 33, 31, 32, 33, 32, 38, 33, 31, 34, 33, 36, 32, 32]",33,173,2.092102755,,,,
29,33,34.33333333,1,"[33, 35, 35, 39, 32, 36, 35, 31, 38, 35, 35, 35, 36, 36, 34, 33, 35, 31, 33, 37, 37, 32, 32, 34, 34, 39, 33, 31, 34, 34, 34, 35, 34, 31, 36, 32]",36,174,2.138089935,,,,
27,32,35.13888889,1,"[39, 35, 32, 35, 34, 36, 32, 36, 37, 37, 35, 32, 38, 35, 33, 38, 39, 32, 32, 31, 32, 38, 32, 37, 36, 33, 29, 37, 31, 37, 37, 34, 40, 40, 35, 39]",36,175,2.889911296,,,,
29,35,36.30555556,1,"[42, 36, 38, 42, 38, 34, 42, 35, 34, 33, 38, 37, 37, 33, 32, 36, 40, 31, 36, 33, 36, 33, 40, 36, 32, 39, 37, 35, 36, 35, 35, 39, 35, 36, 37, 39]",36,176,2.856765848,,,,
26,30,31.80555556,1,"[28, 30, 30, 34, 30, 31, 29, 34, 31, 30, 31, 33, 33, 33, 34, 28, 32, 39, 30, 33, 40, 27, 32, 31, 27, 37, 33, 30, 33, 35, 33, 29, 34, 29, 30, 32]",36,177,2.974361343,,,,
29,33,34.54545455,1,"[36, 39, 35, 36, 31, 33, 31, 37, 36, 32, 35, 32, 36, 35, 33, 35, 35, 31, 34, 35, 33, 34, 37, 35, 31, 35, 39, 33, 35, 36, 38, 34, 33]",33,178,2.180752581,,,,
22,27,29,1,"[28, 33, 28, 34, 33, 24, 30, 31, 27, 31, 32, 26, 27, 30, 29, 33, 28, 27, 27, 24, 27, 32, 33, 28, 27, 28, 31, 27, 24, 31]",30,179,2.888741523,,,,
24,30,31.40625,1,"[28, 32, 31, 30, 33, 32, 29, 31, 30, 36, 30, 29, 26, 31, 33, 28, 29, 33, 34, 33, 31, 31, 33, 38, 29, 34, 33, 26, 32, 32, 35, 33]",32,180,2.674363054,,,,
28,33,34.28571429,1,"[32, 31, 31, 36, 35, 40, 33, 32, 30, 34, 33, 40, 33, 36, 31, 32, 35, 31, 36, 33, 37, 36, 33, 31, 37, 33, 35, 33, 33, 33, 40, 35, 40, 34, 36]",35,181,2.792547104,,,,
27,31,33.05714286,1,"[31, 34, 32, 34, 39, 35, 31, 31, 34, 33, 33, 32, 37, 36, 30, 31, 30, 31, 29, 34, 32, 35, 32, 38, 32, 38, 32, 29, 33, 31, 33, 29, 35, 38, 33]",35,182,2.700140052,,,,
28,33,35.14705882,1,"[37, 30, 34, 33, 37, 31, 33, 37, 38, 37, 35, 33, 33, 36, 37, 34, 35, 34, 37, 39, 35, 34, 32, 39, 33, 38, 37, 39, 34, 37, 36, 34, 33, 34]",34,183,2.337213479,,,,
31,35,35.71428571,1,"[36, 36, 32, 34, 36, 38, 34, 36, 41, 35, 38, 35, 35, 36, 34, 37, 33, 35, 33, 37, 38, 35, 32, 32, 34, 36, 35, 39, 39, 37, 37, 36, 36, 37, 36]",35,184,2.066133481,,,,
30,34,35.33333333,1,"[37, 35, 37, 36, 37, 36, 36, 39, 33, 36, 33, 38, 34, 35, 35, 32, 32, 35, 34, 34, 39, 34, 33, 34, 36, 40, 33, 34, 37, 35, 34, 37, 36]",33,185,2.01038968,,,,
26,31,32.75862069,1,"[34, 32, 30, 33, 31, 34, 34, 32, 31, 31, 30, 35, 34, 34, 30, 29, 35, 36, 35, 31, 30, 29, 28, 34, 31, 37, 37, 40, 33]",29,186,2.811394829,,,,
27,34,34.82352941,1,"[39, 41, 34, 30, 38, 33, 36, 35, 34, 34, 37, 31, 32, 34, 34, 35, 32, 35, 34, 34, 39, 29, 35, 33, 37, 34, 40, 36, 33, 36, 34, 35, 36, 35]",34,187,2.633934587,,,,
24,32,33.83333333,1,"[30, 37, 34, 37, 32, 35, 38, 30, 39, 35, 38, 34, 32, 37, 33, 36, 32, 34, 29, 34, 35, 32, 33, 34, 36, 34, 29, 33, 35, 34, 34, 38, 31, 26, 35, 33]",36,188,2.863564213,,,,
23,30,32.91666667,1,"[36, 33, 33, 34, 35, 32, 31, 33, 33, 33, 30, 30, 35, 37, 30, 36, 38, 30, 29, 34, 31, 36, 33, 38, 36, 29, 32, 33, 28, 30, 36, 30, 34, 29, 32, 36]",36,189,2.771023534,,,,
26,31,33.08333333,1,"[38, 34, 34, 39, 33, 32, 37, 35, 27, 33, 35, 32, 35, 30, 28, 34, 35, 30, 30, 30, 29, 31, 35, 33, 30, 37, 35, 32, 34, 27, 33, 36, 31, 35, 37, 35]",36,190,3.036680519,,,,
27,32,33.44444444,1,"[32, 32, 34, 35, 35, 35, 32, 32, 35, 33, 34, 32, 32, 34, 33, 33, 32, 38, 32, 32, 37, 29, 33, 39, 31, 35, 35, 32, 34, 32, 32, 30, 36, 35, 35, 32]",36,191,2.117200907,,,,
24,29,31.18181818,1,"[37, 40, 28, 35, 26, 30, 27, 34, 33, 30, 30, 26, 34, 33, 30, 26, 29, 26, 32, 30, 29, 31, 31, 36, 33, 33, 34, 29, 26, 31, 33, 36, 31]",33,192,3.521847397,,,,
25,30,31.76666667,1,"[34, 34, 33, 30, 34, 31, 34, 30, 32, 38, 32, 30, 31, 32, 29, 32, 30, 32, 32, 27, 29, 33, 30, 31, 35, 32, 32, 29, 32, 33]",30,193,2.176414852,,,,
23,29,30.34375,1,"[26, 30, 29, 35, 34, 31, 30, 32, 30, 36, 29, 29, 26, 31, 30, 25, 33, 31, 31, 29, 30, 31, 31, 35, 28, 32, 31, 25, 30, 32, 30, 29]",32,194,2.647084519,,,,
30,35,36.4,1,"[38, 34, 38, 37, 38, 40, 33, 32, 43, 34, 35, 40, 35, 35, 35, 39, 36, 34, 36, 36, 40, 35, 33, 35, 35, 39, 40, 34, 33, 36, 38, 35, 39, 36, 38]",35,195,2.557572378,,,,
28,32,33.6,1,"[32, 33, 31, 37, 37, 36, 30, 34, 31, 33, 30, 33, 38, 33, 31, 35, 31, 31, 33, 38, 33, 36, 34, 38, 33, 37, 32, 33, 34, 32, 33, 33, 32, 36, 33]",35,196,2.341442492,,,,
27,33,34.35294118,1,"[35, 29, 36, 32, 35, 31, 34, 38, 38, 35, 35, 33, 31, 35, 32, 34, 34, 33, 37, 33, 37, 36, 32, 35, 33, 40, 33, 35, 36, 36, 36, 34, 32, 33]",34,197,2.2946889,,,,
27,32,33.54285714,1,"[32, 40, 29, 32, 29, 32, 31, 31, 37, 33, 36, 34, 31, 35, 31, 36, 34, 33, 33, 34, 36, 33, 32, 32, 31, 36, 32, 38, 34, 36, 33, 32, 29, 35, 42]",35,198,2.934008071,,,,
25,31,32.03030303,1,"[33, 32, 30, 34, 36, 30, 31, 35, 32, 32, 30, 36, 31, 31, 31, 32, 30, 34, 30, 30, 35, 31, 31, 31, 34, 32, 29, 31, 31, 32, 34, 31, 35]",33,199,1.92816053,,,,
28,33,34.86206897,1,"[34, 34, 30, 37, 33, 40, 33, 35, 33, 38, 33, 37, 35, 33, 39, 33, 39, 37, 38, 36, 32, 31, 30, 36, 34, 30, 38, 40, 33]",29,200,3.008608339,,,,
26,32,34.02941176,1,"[29, 41, 38, 36, 38, 34, 38, 37, 30, 36, 34, 31, 33, 35, 36, 36, 33, 35, 39, 32, 38, 33, 32, 31, 32, 33, 36, 35, 27, 34, 27, 35, 33, 30]",34,201,3.307340725,,,,
27,32,34.13888889,1,"[32, 36, 36, 39, 33, 37, 36, 32, 40, 35, 38, 34, 37, 38, 32, 32, 33, 32, 32, 34, 34, 31, 35, 34, 32, 33, 33, 33, 37, 35, 35, 32, 33, 29, 33, 32]",36,202,2.462899311,,,,
27,32,33.5,1,"[35, 36, 34, 35, 33, 32, 32, 33, 34, 34, 32, 32, 32, 35, 33, 35, 37, 34, 33, 29, 31, 37, 31, 36, 31, 33, 31, 35, 29, 32, 35, 34, 35, 35, 32, 39]",36,203,2.197401062,,,,
31,35,37.44444444,1,"[39, 35, 40, 43, 38, 37, 42, 36, 34, 34, 35, 38, 42, 34, 35, 38, 40, 40, 36, 33, 37, 35, 45, 39, 34, 39, 35, 36, 38, 32, 34, 43, 37, 39, 37, 39]",36,204,3.111677953,,,,
31,35,36.02777778,1,"[37, 37, 33, 37, 35, 36, 35, 38, 38, 37, 37, 38, 35, 38, 35, 34, 37, 38, 35, 35, 39, 33, 34, 38, 33, 36, 40, 33, 33, 37, 37, 36, 37, 36, 35, 35]",36,205,1.84369367,,,,
33,37,38.03030303,1,"[42, 39, 37, 39, 35, 38, 36, 42, 38, 37, 38, 35, 41, 36, 36, 39, 37, 35, 39, 39, 38, 40, 38, 39, 35, 39, 39, 37, 39, 37, 38, 41, 37]",33,206,1.91188468,,,,
26,31,33.83333333,1,"[32, 33, 34, 30, 41, 31, 37, 32, 30, 37, 34, 32, 30, 34, 35, 35, 34, 38, 30, 28, 31, 37, 33, 37, 30, 34, 35, 34, 37, 40]",30,207,3.195722716,,,,
28,34,35.29032258,1,"[34, 37, 35, 37, 39, 36, 35, 34, 38, 34, 36, 32, 35, 36, 35, 34, 36, 34, 38, 32, 36, 35, 36, 35, 37, 33, 30, 35, 37, 37, 36]",31,208,1.918220502,,,,
26,31,33.77142857,1,"[33, 28, 31, 35, 37, 43, 33, 33, 28, 32, 36, 37, 29, 35, 32, 35, 33, 31, 30, 34, 38, 33, 31, 31, 34, 31, 35, 35, 28, 39, 40, 32, 41, 31, 38]",35,209,3.710761094,,,,
28,33,35.05714286,1,"[33, 33, 36, 38, 39, 38, 31, 36, 31, 34, 34, 36, 37, 36, 33, 37, 33, 33, 35, 36, 36, 38, 34, 37, 35, 37, 33, 32, 35, 32, 33, 36, 35, 39, 36]",35,210,2.195488116,,,,
24,30,31.23529412,1,"[34, 26, 29, 31, 31, 28, 30, 38, 35, 31, 35, 30, 26, 34, 29, 30, 33, 29, 35, 31, 30, 30, 31, 33, 27, 38, 32, 26, 33, 31, 33, 32, 30, 31]",34,211,3.005639382,,,,
24,29,31.68571429,1,"[33, 34, 26, 26, 28, 34, 28, 30, 36, 30, 35, 35, 35, 28, 26, 33, 29, 30, 28, 33, 33, 31, 32, 30, 30, 35, 29, 40, 38, 30, 30, 33, 33, 28, 40]",35,212,3.684398176,,,,
28,33,34.21212121,1,"[35, 38, 30, 34, 34, 34, 35, 38, 34, 36, 33, 35, 32, 32, 35, 33, 32, 36, 33, 33, 36, 34, 31, 34, 35, 38, 30, 33, 33, 34, 34, 39, 36]",33,213,2.175970699,,,,
26,31,32.03448276,1,"[33, 31, 28, 36, 31, 36, 31, 32, 32, 30, 30, 33, 34, 32, 33, 33, 35, 33, 35, 34, 30, 29, 28, 31, 31, 28, 32, 37, 31]",29,214,2.412508455,,,,
26,32,33.70588235,1,"[35, 33, 35, 28, 35, 34, 34, 32, 31, 35, 33, 30, 33, 32, 35, 34, 31, 37, 34, 33, 39, 34, 36, 32, 35, 31, 37, 34, 31, 35, 34, 37, 33, 34]",34,215,2.236466528,,,,
27,32,33.38888889,1,"[32, 35, 32, 37, 31, 38, 33, 33, 33, 33, 37, 32, 36, 40, 34, 34, 35, 30, 30, 31, 36, 32, 33, 35, 33, 34, 32, 31, 36, 31, 36, 31, 31, 29, 34, 32]",36,216,2.48742871,,,,
